movieId,movieTitle,movieRelease,revenue,audience,screen,screening ,movieNation,movieGrade,movieGenre,movieDirector,movieActors
1094,어느 가족,2018-07-26,"11,734,801","175,907",8,74,일본,15세이상관람가,드라마,고레에다 히로카즈,"릴리 프랭키,안도 사쿠라,마츠오카 마유,키키 키린,죠 카이리,사사키 미유,이케마츠 소스케"
1095,러빙 빈센트,2017-11-09,"11,965,200","422,773",1,27,영국,15세이상관람가,"애니메이션,미스터리","도로타 코비엘라,휴 웰치맨","시얼샤 로넌,제롬 플린,크리스 오다우드,더글라스 부스,에이단 터너,헬렌 맥크로리"
1096,"안녕, 내일 또 만나",2023-09-13,"10,543,223","1,368",21,219,한국,12세이상관람가,드라마,백승빈,"심희섭,홍사빈,신주협,김주령"
1097,데드락: 라스트 리벤지,2022-01-28,"8,050,000","1,150",50,115,미국,15세이상관람가,기타,자레드 콘,"브루스 윌리스,패트릭 멀둔"
1097,아메리칸 저스티스,2022-04-07,"8,050,000","1,150",50,115,미국,15세이상관람가,"액션,스릴러",,"브루스 윌리스,티모시 V. 머피"
1099,몸값part.2,2023-07-05,"10,943,283","1,147",48,389,한국,청소년관람불가,스릴러,전우성,"진선규,전종서,장률"
1100,레이징 파이어,2022-01-20,"10,417,960","1,448",60,332,홍콩,15세이상관람가,"액션,범죄,드라마",진목승,"견자단,사정봉"
1104,시대혁명,2022-10-13,"11,200,900","1,129",18,197,영국,15세이상관람가,다큐멘터리,,
1105,뮤지컬 윌리엄과 윌리엄의 윌리엄들,2023-06-28,"22,543,000","1,128",9,59,한국,12세이상관람가,공연,김은영,
1106,모퉁이,2022-08-11,"10,515,400","1,249",20,224,한국,12세이상관람가,드라마,신선,"이택근,김민성,하성국,백수희,황미영"
1107,디어헌터(감독판),2022-06-23,"10,850,360","1,121",5,111,미국,15세이상관람가,"전쟁,드라마",마이클 치미노,"로버트 드 니로,크리스토퍼 월켄,메릴 스트립"
1109,베네데타,2021-12-01,"5,599,000","13,547",2,8,프랑스,청소년관람불가,드라마,폴 버호벤,"비르지니 에피라,다프네 파타키아,샬롯 램플링,램버트 윌슨,클로틸드 쿠로"
1110,도그맨,2024-01-24,"10,980,000","1,118",4,6,프랑스,15세이상관람가,드라마,뤽 베송,"케일럽 랜드리 존스,조조 T. 깁스"
1110,세이 예스 어게인,2023-10-18,"8,255,400","1,118",65,415,대만,12세이상관람가,"멜로/로맨스,드라마",,
1113,귀토-토끼의 팔란,2021-11-11,"6,005,000","1,609",10,68,한국,전체관람가,공연,고선웅,
1115,룩앳미 터치미 키스미,2023-12-06,"8,842,500","1,101",7,79,한국,15세이상관람가,"멜로/로맨스,코미디","호 유항,제나르 마에사 아유,김태식","홍완표,이태경,조선묵,채민서,이진주,박종근,임장환,이슬기,권민경"
1115,존 덴버 죽이기,2022-11-23,"8,656,000","1,101",22,212,필리핀,12세이상관람가,드라마,아덴 로즈 콘데즈,"쟌센 막프사오,메릴 소리아노"
1117,너를 부르는 시간,2023-11-15,"10,734,258","1,100",36,235,중국,12세이상관람가,멜로/로맨스,,
1118,안나푸르나,2023-06-08,"8,435,856","1,091",16,182,한국,전체관람가,"드라마,멜로/로맨스,코미디",황승재,"차선우,김강현"
1120,투란도트 어둠의 왕국,2022-08-18,"9,361,700","1,080",18,143,한국,12세이상관람가,뮤지컬,김시우,"배다해,민우혁,양서윤,성기윤"
1121,바바라,2013-03-21,"10,584,800","4,232",8,84,독일,15세이상관람가,드라마,크리스티안 펫졸드,"니나 호스,로널드 제르펠트,라이너 보크"
1124,라스트필름,2022-12-29,"7,889,200","1,064",22,225,한국,12세이상관람가,드라마,전수일,"정호원,장현성,김진혁,김상오,정은영,김남우,박현준,김수민,현은영,유순철,양귀례,김혜정,박상규,차호준,이익수,김우진,유준혁,안준우,윤동주,이재희,이주현,손빛나"
1126,2만 종의 벌,2023-12-27,"9,919,784","1,056",19,168,스페인,12세이상관람가,드라마,,
